index,slug,name,method,endpoint,category,category_label,billing,qps,free_quota_logged_in,free_quota_anonymous,required_query_params,optional_query_params,marketplace_url,docs_url,raw_docs_url,openapi_operation_id,summary,growth_tier,growth_action,promotion_angle,known_calls_30d,known_errors_30d,known_error_rate
1,video-parse,全平台视频元数据解析服务,GET,https://v1.apizero.cn/api/video-parse,content,内容娱乐,按次付费 · 月套餐 · 单次 0 积分,3 / s,20,5,url,flat,https://apizero.cn/marketplace/video-parse,https://apizero.cn/aidocs/video-parse,https://apizero.cn/aidocs/video-parse/raw.md,video_parse,``` 全平台视频元数据解析服务 — 专业、合规、稳定 ## 服务概述 本服务通过 RESTful API 形式，将用户已能合法访问的视频/图集分享链接， 解析为结构化的元数据信息（标题、封面、作者、原始 URL 等）， 便于开发者集成到内容审核、个人备份、学术研究、数据迁移等场景。 ## 核心能力 - **覆盖广**：国内主流平台全覆盖（抖音、小红书、哔哩哔哩、快手、微博、 皮皮虾、最右、贴吧、即梦、可灵 AI 等），海外平台 5 站智能路由 （YouTube、Vimeo、Twitter 等通过 yt-dlp 兜底） - **响应快**：智能缓存 + 多通道竞速，平均响应 1.3 秒，QPS 可达 15 - **稳定性**：99.7% 月度可用性（含失败重试与自动降级） - **合规优先**： · 强制在每个响应中返回 source 来源标注字段 · 不存储任何原始视频/图片内容 · 完善的 DMCA 侵权处理通道（24 小时响应） · 90 天日志保留期，超期自动清理 ## 适用场景 ✅ 个人内容备份（用户备份自己发布或合法授权的内容） ✅ MCN 机构内容审核（对委托发布的内容进行合规审查） ✅ 学术研究（高校研究机构的传播规律分析） ✅ 合法范围内的市场数据聚合分析 ✅ 用户在自有多账号间的内容迁移 ## 严禁用途（违反者立即终止服务且不予退款） ❌ 公开传播、二次发布他人受版权保护的内容 ❌ 集成到视频下载站、聚合下载工具等以下载为主功能的产品 ❌ 大规模爬取、自动化抓取 ❌ 用于侵犯他人著作权、肖像权、隐私权的任何用途 ❌ 二次商业转售本服务的解析结果 ## 调用即同意《用户协议与免责声明》 完整协议：如下免责申明 侵权投诉：1790643379@qq.com ``` 新增支持豆包、千问内容分享解析：豆包视频（无水印直链 + 封面）、豆包对话图片、千问图片，按链接自动识别。,C-caution,只做排错/合规指南,错误率高，暂不作为拉新入口；只讲合法使用、常见错误和可测试输入。,835,359,42.99%
2,barcode-gs1,商品条码查询PRO,GET,https://v1.apizero.cn/api/barcode-gs1,life,生活服务,按次付费 · 月套餐 · 单次 0 积分,2 / s,5,2,code,,https://apizero.cn/marketplace/barcode-gs1,https://apizero.cn/aidocs/barcode-gs1,https://apizero.cn/aidocs/barcode-gs1/raw.md,barcode_gs1,官方权威的商品条码查询接口，数据直通中国物品编码中心官方注册数据库。 与 `barcode-lookup` 定位不同： - 本接口**官方权威**：返回厂商注册名称、产品登记信息、上市日期、官方商品图等可追溯的官方数据 - 本接口**仅覆盖国内注册条码**(6/690 开头)，进口商品或非注册条码会返回 found=false - 适合合规核验、溯源、上架审核等对数据权威性要求高的场景 支持输入格式：8 / 12 / 13 / 14 位纯数字，或 16 位 AI(01) 前缀 + GTIN-14。 返回数据包含：产品名称、品牌、通用名、分类（含分类编号）、规格、净含量、上市日期、厂商企业名、官方商品图、条码激活日期、产品创建日期、企业注册日期、已用天数等核心字段，部分情况下额外提供生产国、企业地址、参考售价、厂商识别代码等扩展字段。,A-verify,验证后主推,PRO 商品条码查询；发文前先用真实条码验证，降低新用户复制失败率。,1805,255,14.13%
3,barcode-lookup,商品条码查询-免费版,GET,https://v1.apizero.cn/api/barcode-lookup,life,生活服务,免费试用 · 单次 0 积分,2 / s,200,20,barcode,mode,https://apizero.cn/marketplace/barcode-lookup,https://apizero.cn/aidocs/barcode-lookup,https://apizero.cn/aidocs/barcode-lookup/raw.md,barcode_lookup,通过商品条形码（EAN-13 / UPC-A / UPC-E / EAN-8）一键查询商品信息，覆盖国内日常消费品超千万 SKU，包括食品饮料、日用百货、个护美妆、酒水烟草、母婴用品等。 【核心字段】 - name 商品名称 - brand 品牌 - manufacturer 生产厂商 / 经销商 - spec 规格（如 550ml / 250g / 6 听装） - price 参考价（人民币元，仅作参考非实时市场价） - image 商品图片 URL（自有 CDN 代理，跨域友好） 【典型场景】 - 电商 / 零售 ERP：扫码录入商品自动补全字段 - 个人记账 App：扫码识物展示购物明细 - 物流仓储：条码核销 + 商品图展示 - 自动售货机：条码识别后获取商品名称 - 营销活动：用户扫码核销福利时验证商品 【调用示例】 GET /api/barcode-lookup?barcode=6921168509256 【特别说明】 - 平均响应 100ms（不含图片下载） - 国内主流商品（农夫山泉、可口可乐、康师傅、伊利等）覆盖率 > 95% - 个别冷门 / 新上市 SKU 可能未收录，此时 found=false - price 字段仅作参考，非各电商平台实时价格 - image 字段始终返回有效 URL（接图片 onError 即可降级到默认图标） 【⚠️ 注意】 图片资源为公开懒加载代理，不计入接口调用次数；商品文本数据为按次计费。,A-core,主推,免费商品条码查询；适合库存录入、电商资料补全、扫码工具。,164,,
4,hot-baidu,百度热搜榜,GET,https://v1.apizero.cn/api/hot-baidu,life,生活服务,免费试用 · 单次 0 积分,10 / s,10000,1000,,tab,https://apizero.cn/marketplace/hot-baidu,https://apizero.cn/aidocs/hot-baidu,https://apizero.cn/aidocs/hot-baidu/raw.md,hot_baidu,"聚合百度搜索热榜数据，实时返回 4 大榜单的 Top 30~50 条热门内容。零成本调用，适合做内容聚合 / 热点追踪 / 资讯类产品。 【支持榜单】 - realtime（实时热搜）· 默认值，约 30~50 条 - novel（小说）· 约 30 条，含作者 - movie（电影）· 约 10 条，含类型 - tv（电视剧）· 约 10 条，含演员 【返回字段】 - rank · 榜单排名 - title · 标题 - desc · 简短描述 - hot_index · 热度指数（数字） - link · 详情链接（百度搜索） - image · 配图 URL（直接可用，无防盗链限制） - tag · 标签（如「热」「新」「沸」「爆」） - author / category / actors · 小说 / 电影 / 电视剧专属字段 【典型场景】 - 资讯类 App 的""今日热点""模块 - AI 写作助手的""实时热点选题""参考 - 数据看板 / 大屏展示 - 微信公众号选题辅助 - 热搜监控 / 舆情分析 【调用示例】 GET /api/hot-baidu · 默认实时热搜 GET /api/hot-baidu?tab=realtime GET /api/hot-baidu?tab=novel GET /api/hot-baidu?tab=movie GET /api/hot-baidu?tab=tv 【性能与缓存】 - 平均响应 200ms（缓存命中时 < 50ms） - 后端 60 秒缓存（百度榜单本身分钟级更新，短缓存合理且节省调用方资源） 【⚠️ 数据来源说明】 本接口数据来源于百度搜索热榜公开页面（top.baidu.com），仅用于个人开发测试与小规模商业场景；如需大规模商业使用建议自建抓取或采购官方 API。",B-support,补充推广,百度热搜 API；适合公众号、AI 写作工具、热点选题池。,,,
5,weather,彩云天气,GET,https://v1.apizero.cn/api/weather,life,生活服务,免费试用 · 单次 0 积分,10 / s,2000,100,,"type, city, location, alert, days, hours",https://apizero.cn/marketplace/weather,https://apizero.cn/aidocs/weather,https://apizero.cn/aidocs/weather/raw.md,weather,"基于彩云天气 v2.6 的全功能天气接口，覆盖： • 实时天气（温度/湿度/风/能见度/AQI/PM2.5） • 分钟级降水预报（未来 2 小时） • 小时预报（最长 360 小时 = 15 天） • 天预报（最长 15 天，含日出日落、温度极值、生活指数） • 综合数据（一次返回全部 + 气象预警） 特色： • 支持城市名直接查询（内置 ~140 个常用中国城市表 + Open-Meteo 兜底，无需高德/百度 Key） • 自动中文化：skycon 转中文、风向转 16 方位、风速转蒲福风级、AQI 转等级颜色 • 预警标准化：从原始 title 提取颜色（蓝/黄/橙/红）和级别（一般/较重/严重/特别严重） • 顶层 summary 字段提供""一眼看懂""的实时摘要",A-core,主推,免费天气 API；城市名直接查；适合小程序、网站天气模块、日报脚本。,17379,62,0.36%
6,movie-box,实时电影票房,GET,https://v1.apizero.cn/api/movie-box,life,生活服务,免费试用 · 单次 0 积分,10 / s,20000,1000,,,https://apizero.cn/marketplace/movie-box,https://apizero.cn/aidocs/movie-box,https://apizero.cn/aidocs/movie-box/raw.md,movie_box,实时获取猫眼当日电影票房 Top 10，包含累计票房、实时票房、票房占比、排片占比、上座率等核心指标。数据来源猫眼专业版，按 60 秒缓存。,B-support,补充推广,实时电影票房 API；适合影视数据看板和小项目教程。,,,
7,whois,Whois 域名查询,GET,https://v1.apizero.cn/api/whois,dev,开发工具,免费试用 · 单次 0 积分,5 / s,1000,300,domain,with_raw,https://apizero.cn/marketplace/whois,https://apizero.cn/aidocs/whois,https://apizero.cn/aidocs/whois/raw.md,whois,查询域名注册信息（注册商 / 注册主体 / 创建时间 / 到期时间 / DNS 服务器 / 域名状态 / DNSSEC 等）。 • **支持所有主流 TLD**：.com / .cn / .net / .org / .io / .me / .top / .xyz 等几乎所有 ICANN 认证后缀 • **自动归一化**：传入 `https://www.baidu.com/abc` 会自动剥离为 `baidu.com` • **域名可用性检测**：未注册域名返回 is_available=true，可用于域名抢注前查询 • **到期告警**：30 天内到期返回 expiring_soon=true，便于前端高亮提示 • **域龄展示**：creation_age_text 返回「N 年 M 月」人类可读字符串 • **国内 .cn 主体中文**：whoiscx 上游对国内域名返回中文注册主体名（如「极数本源（福州）科技有限公司」） • **缓存 24h**：whois 数据年级变化，全天同一域名查询只调 1 次上游 • **修复源码 BUG**：错误响应字段是 `error` 不是 `message`，源码取错丢失了上游真实错误,B-support,补充推广,Whois 域名查询；适合站长工具、域名监控、开发者脚本。,,,
8,qq,QQ 信息,GET,https://v1.apizero.cn/api/qq,life,生活服务,免费试用 · 单次 0 积分,10 / s,30000,5000,qq,,https://apizero.cn/marketplace/qq,https://apizero.cn/aidocs/qq,https://apizero.cn/aidocs/qq/raw.md,qq,通过 QQ 号查询昵称、QQ 邮箱、QQ 空间链接，并生成 4 种尺寸的头像直链 URL（s40/s100/s140/s640）。 • 严格 5-11 位数字校验（防上游字符串截断引起的号码错位） • 安全增强：上游返回的 QQ key 必须与请求严格一致，否则视为未查询到 • 错误兼容：自动识别上游错误响应（_Callback({error:...})）和正常响应（portraitCallBack(...)） • 编码兜底：腾讯接口历史输出 GBK 含中文昵称时自动转 UTF-8 • 多尺寸头像：avatars 对象内含 s40/s100/s140/s640 四种尺寸 URL，前端 `<img src={data.avatars.s640}>` 直接用,A-core,主推,QQ 头像昵称 API；适合头像展示、轻量用户资料补全、网页小工具。,577,19,3.29%
9,ip-pro,IP 地址查询（街道级）,GET,https://v1.apizero.cn/api/ip-pro,geo,地理位置,按次付费 · 点数包 · 月套餐 · 单次 5 积分,3 / s,30,5,,ip,https://apizero.cn/marketplace/ip-pro,https://apizero.cn/aidocs/ip-pro,https://apizero.cn/aidocs/ip-pro/raw.md,ip_pro,IP 地理位置查询，精确到街道级。多数据源自动切换：主源提供街道 + ISP + 风险评分，主源不可用时自动降级到备用源（城市级 + ISP）。响应 data.source 字段标识本次数据档位。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
10,shici,随机诗词,POST,https://v1.apizero.cn/api/shici,content,内容娱乐,免费试用 · 单次 0 积分,5 / s,50,30,,,https://apizero.cn/marketplace/shici,https://apizero.cn/aidocs/shici,https://apizero.cn/aidocs/shici/raw.md,shici,随机返回一首古诗词，支持按 10 种主题筛选（抒情/四季/山水/天气/人物/生活/节日/动物/植物/食物）。,D-inventory,先收录,先放入接口库，等站内调用量或搜索需求上来后再写专项内容。,,,
